specObjID,spiral,elliptical,petroMag_u,petroMag_r,petroMag_g,z
300615576982677504,1,0,18.69239,17.17256,17.57749,0.04655848
300621074540816384,1,0,20.68885,17.74399,18.50974,0.08544684
300644714040813568,1,0,18.44324,15.80216,16.61532,0.02094694
300657908180346880,1,0,18.62208,17.03024,17.52353,0.0842066
300707386203596800,0,1,23.66814,17.98042,19.6201,0.2251949
300790949087307776,0,1,17.99773,15.4114,16.37882,0.0877696
301799751425222656,0,1,21.78514,17.77359,19.05873,0.1678794
301871219681028096,1,0,19.03304,16.67635,17.47045,0.08085039
301910802099628032,1,0,19.32484,16.7413,17.68793,0.09769482
301911626733348864,1,0,20.62199,17.6599,18.60468,0.08730347
304025992224073728,0,1,21.00997,17.72487,18.70196,0.09594639
304040010997327872,1,0,18.00762,15.91102,16.59623,0.06864782
304080967805462528,1,0,18.76494,17.08445,17.70832,0.06778789
304157933619406848,0,1,18.01965,15.07665,16.01982,0.07115293
305131275851687936,1,0,18.91946,17.04905,17.6575,0.09492103
305149142915639296,0,1,17.54745,14.72799,15.73042,0.09357442
305166185345869824,1,0,18.99201,16.78165,17.47437,0.09604297
305260193590044672,1,0,20.11229,17.28685,18.14,0.06310865
306310777923463168,1,0,18.82299,16.1734,17.04602,0.09346136
306311327679277056,1,0,20.10331,17.69363,18.39988,0.08411455
306365478626945024,0,1,20.75685,17.61617,18.58673,0.09412367
307378953738283008,1,0,20.68037,17.83013,18.85959,0.1501351
307388849342932992,1,0,19.44768,17.79332,18.3697,0.0832576
307416337133627392,1,0,20.19773,17.67303,18.5148,0.09436746
308522719970879488,1,0,20.72669,17.5763,18.47753,0.09591585
308526843139483648,0,1,18.80665,16.26035,17.47222,0.1383923
308634595279005696,1,0,19.97663,17.78909,18.31452,0.1219759
308660708680165376,1,0,17.64115,15.52142,16.25855,0.07979456
309703870286686208,1,0,19.07967,17.80103,18.23722,0.09595962
309718713693661184,1,0,19.34244,17.27422,18.04516,0.1234198
309766267571562496,1,0,19.93399,17.81267,18.3039,0.104802
309773414397143040,1,0,19.78265,16.64495,17.60876,0.09253436
310793486293035008,1,0,17.23391,15.70306,16.12528,0.0411797
310918830618601472,1,0,19.46512,17.68582,18.33298,0.1032524
310924053298833408,1,0,18.23567,16.29154,16.93376,0.07997417
311905367409846272,1,0,18.32054,16.67391,17.61109,0.08351591
311983157857511424,1,0,20.16899,17.35986,18.33492,0.1022803
311993603217975296,1,0,17.42948,14.99131,15.78887,0.03815033
312040332462155776,0,1,17.50567,14.93875,15.85185,0.07060522
